BugStationID,Latitude,Longitude,Year,Med_IBI_Score,Med_IBI_Threshold,Index_Nar,DistCat_Tt,Med_TotTaxSc,Med_PlecTaxSc,Med_ChirPctSc,Med_NonInsPctSc,Med_ClingPctSc,Med_IntolPctSc,Med_TolerTaxSc,Med_NOx_mgL,Med_TP_mgL,Med_TKN_mgL,Med_NO3_mgL,Med_TN_mgL,Med_NO2_mgL,Med_Chla_uncorr,Med_NH3_mgL,Med_PO4_mgL
08-SHG,42.829475,-71.60945,2012,62.90423701,59,Above_Threshold,Non-Ref,70.25293796,22.00866567,85.30201342,99.79865772,60.87092243,21.9598021,80.13665978,0.36,0.0605,0.32,0.35,,0.005,,,
08C-01,42.9208,-72.276,2008,46.80290283,62.08,Below_Threshold,Non-Ref,55.81395349,0,62.03389831,88.47457627,50.88329093,2.672665315,67.74193548,0.079,0.024,0.37,,,,,,0.0044
08m-07,43.0104,-71.4781,2008,53.01979882,59,Below_Threshold,Non-Ref,79.06976744,22.72727273,78.94736842,92.39766082,74.7994016,3.842282008,19.35483871,,0.021,,,,,,,
08M-09,43.008397,-71.481786,2008,63.33646694,59,Above_Threshold,Non-Ref,51.1627907,64.03694998,85.15037594,97.7443609,86.23567375,5.187080711,53.83803658,,0.02,,,,,,,
09-CTC,43.222952,-71.714055,2013,60.35383564,61.48,Below_Threshold,Non-Ref,43.96489328,4.39102072,93.02158273,99.35251799,94.68112614,7.310839896,79.75486874,0.068,0.0236,0.33,,,,,,
09-OYS,43.14828,-70.96567,2013,44.69816914,59,Below_Threshold,Non-Ref,37.9272838,0,100,100,0,0,74.9599002,0.0455,0.0294,0.405,0.041,,0.004,,,
09-OYS,43.14828,-70.96567,2014,59.2262029,59,Above_Threshold,Non-Ref,62.42629121,22.6171371,80.4964539,95.39007092,81.7177215,4.193809937,67.74193572,0.13,0.0346,0.47,0.089,,0.004,,,
09-OYS,43.14828,-70.96567,2015,58.53470092,59,Below_Threshold,Non-Ref,76.66199644,41.81472771,79.57639939,96.5204236,78.36163414,6.759161148,30.04856399,0.0805,0.04145,0.605,0.11,,0.004,,,
09-OYS,43.14828,-70.96567,2016,47.41238354,59,Below_Threshold,Non-Ref,52.11922278,0,77.99736495,91.17259552,44.01028392,27.52774849,39.05946908,0.088,0.04365,0.525,0.0805,,0.004,,,
09-OYS,43.14828,-70.96567,2017,38.23623677,59,Below_Threshold,Non-Ref,52.67539477,0,51.4739229,93.19727891,26.367136,6.555403589,37.38452125,0.115,0.03935,0.47,0.086,,0.002,,,
09-OYS,43.14828,-70.96567,2018,45.54997907,59,Below_Threshold,Non-Ref,68.20640078,0,71.58415842,90.2970297,40.50405041,12.75028948,35.5079247,0.068,0.04655,0.47,0.0635,,0.002,,,
09-SAC,44.102287,-71.178485,2013,67.72194508,63.68,Above_Threshold,Ref,58.89491678,42.4808836,80.53097345,100,64.07977698,44.18964334,83.87742138,0.0945,5.00E-04,,,,,,,
10-BBB,43.128251,-71.500986,2017,63.00166216,59.94,Above_Threshold,Non-Ref,62.47154222,28.40909091,89.76958525,100,83.00776493,22.28452739,55.06912442,0.002,0.015,0.26,0.003,,0.002,,,
10-BMD,43.510441,-72.280467,2011,43.77863411,64.5,Below_Threshold,Non-Ref,41.86046512,45.45454545,54.02843602,59.71563981,6.262336804,15.25804784,83.87096774,0.16,0.0165,0.015,0.16,,0.005,,,
10-HAS,45.09951,-71.45603,2017,65.12544895,71.4,Below_Threshold,Ref,81.47176819,44.33066933,64.82861401,100,54.35073712,27.02538624,83.87096777,0.0965,0.007,0.08,0.0955,,0.002,,,
10-WNR,43.267502,-71.918803,2013,60.57780706,64.5,Below_Threshold,Non-Ref,41.71825111,5.694802935,93.30329715,99.97952079,97.39532979,5.166897518,80.7865501,0.0335,0.010945,0.015,0.0755,,0.004,,,
10-WNR,43.267502,-71.918803,2014,68.26162854,64.5,Above_Threshold,Non-Ref,50.2371444,25.41356993,89.94974874,100,93.22511075,28.17416033,90.8316656,0.0455,0.0115,0.34,0.083,,0.004,,,
10-WNR,43.267502,-71.918803,2015,60.91108647,64.5,Below_Threshold,Non-Ref,90.02809658,19.42501943,76.92307692,95.49071618,76.12676017,27.88457181,40.49936418,0.0635,0.0113,0.015,0.065,,0.004,,,
10-WNR,43.267502,-71.918803,2016,61.9517193,64.5,Below_Threshold,Non-Ref,83.42851318,17.89549034,68.03652968,99.31506849,66.85201811,46.2021253,51.93229,0.0375,0.0115,0.164,0.0365,,0.004,,,
10-WNR,43.267502,-71.918803,2017,47.28272318,64.5,Below_Threshold,Non-Ref,88.44968341,0,77.9637378,79.0097629,74.60024002,6.781065067,4.174573055,0.081,0.0104,0.08,0.078,,0.002,,,
10-WNR,43.267502,-71.918803,2018,64.51249907,64.5,Above_Threshold,Non-Ref,59.72947163,19.42501943,89.83050847,99.87893462,89.32730651,19.5677282,73.82852464,0.0725,0.01505,0.25,0.069,,0.002,,,
12-ASH,42.837961,-72.361026,2012,61.70236715,61.64,Above_Threshold,Non-Ref,42.01268589,0,87.1488764,100,85.59101599,17.16399179,100,0.35,0.021,0.88,0.35,,0.005,,,
14-ISR,44.41191,-71.49783,2013,73.16640872,64.5,Above_Threshold,Ref,68.80901719,51.56775412,90.39077514,99.42344651,90.74250392,27.10617962,84.12518453,0.0645,0.0132,0.015,0.1375,,0.004,0.86,,
14-ISR,44.41191,-71.49783,2014,77.73615366,64.5,Above_Threshold,Ref,104.1653752,48.2534531,93.29535325,97.65143588,91.27951836,29.4610692,96.00766528,0.115,0.0103,,0.098,0.21,0.004,,,
14-ISR,44.41191,-71.49783,2015,73.47766667,64.5,Above_Threshold,Ref,76.80894041,45.61530424,87.18244804,98.38337182,88.37502258,21.54694959,96.43163003,0.0585,0.0132,0.435,0.054,,0.004,,,
14-ISR,44.41191,-71.49783,2016,69.40022917,64.5,Above_Threshold,Ref,87.29651366,31.19367757,79.20433996,99.81916817,73.97665626,30.41586568,83.8953829,0.12,0.0124,0.038,0.12,,0.004,,,
14-ISR,44.41191,-71.49783,2017,78.37965259,64.5,Above_Threshold,Ref,87.15946665,48.61448712,90.24896266,99.17012448,87.06674971,51.79906325,84.59871424,0.076,0.01245,0.08,0.003,,0.002,,,
14-ISR,44.41191,-71.49783,2018,74.81158798,64.5,Above_Threshold,Ref,61.19249215,44.33564916,94.38202247,100,95.61251396,28.15843815,100,0.0305,0.0108,0.08,0.0295,,0.002,,,
15-CCH,43.247538,-70.956625,2011,65.11559076,59,Above_Threshold,Non-Ref,71.06852597,32.82828122,90.47807191,98.53812722,84.36612224,17.80808903,60.72191773,1.95,0.175,0.545,1.9,,0.005,,,
15-CCH,43.247538,-70.956625,2012,59.33751121,59,Above_Threshold,Non-Ref,48.53200457,14.7579693,80.53527981,100,82.81765199,3.516950101,85.2027227,4.5,0.35,0.795,4.5,,0.005,,,
15-CCH,43.247538,-70.956625,2013,63.99993047,59,Above_Threshold,Non-Ref,75.96413609,36.55531331,83.86380459,97.48334567,78.94864504,10.7964996,64.38776897,1.3,0.137,0.55,1.3,,0.004,,0.09,
15-CCH,43.247538,-70.956625,2016,45.99416587,59,Below_Threshold,Non-Ref,90.53323017,17.75568182,69.71214018,81.10137672,59.4030064,3.45372583,-8.611650089,2.8,0.0531,0.7,2.4,,0.004,2.05,0.05,
15-EXT,42.984705,-71.038343,2013,59.40668241,59,Above_Threshold,Non-Ref,56.11366597,30.06115475,78.07323452,99.04097646,78.4747784,7.103029442,66.97993733,0.12,0.0191,0.35,0.0485,,0.004,,,
15-EXT,42.984705,-71.038343,2014,62.48264429,59,Above_Threshold,Non-Ref,71.41732277,44.10154743,78.37209302,99.06976744,77.84715735,8.556672677,58.01394934,0.175,0.02435,0.37,0.094,,0.004,,,
15-EXT,42.984705,-71.038343,2015,50.4524811,59,Below_Threshold,Non-Ref,77.11209523,22.48058211,64.35406699,98.44497608,58.41771448,4.401159391,27.95677344,0.13,0.01635,0.2075,0.14,,0.004,,,
15-EXT,42.984705,-71.038343,2016,55.11849084,59,Below_Threshold,Non-Ref,76.61743786,35.55645334,75.78947368,95.26315789,69.26671859,6.570302234,26.76589229,0.16,0.0128,0.295,0.1,,0.004,,,
15-EXT,42.984705,-71.038343,2018,70.14559272,59,Above_Threshold,Non-Ref,84.05834948,63.14347539,87.66917293,98.79699248,80.11572271,17.38907057,59.84636548,0.111,0.0256,0.285,0.1,,0.002,,,
16-CCH,43.263844,-70.971317,2016,48.87746009,59,Below_Threshold,Non-Ref,67.38496256,0,89.91416309,86.05150215,75.31145369,2.255897763,21.22424137,0.28,0.0125,0.5,0.27,,0.004,0.85,0.05,
16-SGR,43.373083,-72.124994,2010,71.25783207,64.5,Above_Threshold,Non-Ref,59.32362211,67.01631702,92.47648903,99.37304075,55.6708,56.43457091,68.50998464,0.23,0.027,0.37,0.23,,0.005,,,
18-TKR,43.193442,-71.576238,2017,53.66937566,60.7,Below_Threshold,Non-Ref,89.69561934,22.59426808,69.20821114,93.5483871,62.30896567,17.34097364,20.98920465,0.002,0.0275,0.6,0.003,,0.002,,,
1981-05,43.223941,-71.711825,2013,60.74682855,61.48,Below_Threshold,Non-Ref,111.5984243,54.28100238,92,83.25,81.26321353,13.96189225,0.471691683,0.068,0.0223,0.31,,,,,,
22-AMM,44.27163,-71.63163,2013,59.37438269,64.5,Below_Threshold,Non-Ref,72.30597565,59.19835444,100,100,0,0,84.11634874,0.096,0.0059,0.015,0.094,,0.004,,,
22-AMM,44.27163,-71.63163,2014,68.49138833,64.5,Above_Threshold,Non-Ref,60.31058464,61.70024415,72.86612758,100,74.36617792,25.97424064,84.22234341,0.14,0.00647,,0.084,0.26,0.004,,,
